Name (Required),Company,Position,Location,Bio/Description,Link To Image File
Robert  Hodges,Altinity,CEO,,"Robert Hodges is a data geek who has worked on or with 20 different DBMS types since 1983. He currently works on ClickHouse, a popular open source data warehouse. Besides databases, his technical interests including distributed systems, Kubernetes, and security. In his day job he is CEO of Altinity, an enterprise ClickHouse provider.",https://avatars.sched.co/f/c2/10488088/avatar.jpg.320x320px.jpg?4a1
Steve Hoffman,Percona,"SVP, Engineering in Eng-Platform",,"A lifelong technologist, Steve got his start in high performance, high availability computing while in college at Penn State.  As his career in technology progressed through programming and systems engineering, he made the transition into leadership and has never looked back.  His successes include leading several companies through high growth phases as well as multiple mergers and acquisitions.  He currently leads the engineering team at Percona where they build all the software components of the Percona Platform to bring Software, Services and Intelligence together to help organizations keep their database infrastructure running at peak performance.  When he's not working, you'll find him and his family either soaring through the skies in his Bonanza or chasing his children down a ski slope!",https://avatars.sched.co/e/5d/11749905/avatar.jpg.320x320px.jpg?eb6
Ed Huang,PingCAP,Co-founder and CTO,,Ed Huang is the co-founder and CTO of PingCAP. He is a distributed systems and database expert.,https://avatars.sched.co/5/6f/14731811/avatar.jpg.320x320px.jpg?e5d
Sami Imseih,Amazon Web Services,Database Engineer,,"<strong>Sami Imseih</strong> is a Database Engineer specialized in PostgreSQL at AWS. Sami has been overseeing mission critical database environments for over a decade. Since 2019, Sami has been helping customers achieve success with database migrations to Amazon RDS for PostgreSQL.",https://avatars.sched.co/3/0b/14647521/avatar.jpg.320x320px.jpg?1c2
Seppo Jaakola,Codership (galera cluster),CEO,,"Database replication specialist, with long track record of developing various replication and clustering solutions for MariaDB, MySQL and PostgreSQL databases. Currently working for Galera open source project with the target of developing a universally applicable synchronous all active replication solution that works in LAN, WAN and cloud based deployments.",https://avatars.sched.co/1/da/14602776/avatar.jpg.320x320px.jpg?1da
Yashada Jadhav,PayPal,Engineering Manager,,"10+ years of experience running MySQL at Scale at lightning pace for delivering product feature and operational excellence.<br>Speaker at Percona Live 2015, 2019 and Oracle Open World 2015.<br>Prior to Venmo, PayPal, member of RDS Aurora MySQL team at AWS and Yahoo! MySQL team.",https://avatars.sched.co/b/4a/14603127/avatar.jpg.320x320px.jpg?c31
Raj Jayakrishnan,Amazon Web Services,Sr Database Specialist SA,,Raj Jayakrishnan is a Senior Database Specialist Solutions Architect with Amazon Web Services helping customers reinvent their business through the use of purpose built database cloud solutions and building relationship that outlast all of us. Over 20 years of experience in architecting commercial & open source database solutions in financial and logistics industry.,https://avatars.sched.co/e/43/14634992/avatar.jpg.320x320px.jpg?256
Jean Joseph,AW,Data Engineer,,"Jean Joseph is a Data Engineer/DBA, Speaker, IT Event Planner, Blogger, Data Driven Community Builder, Founder & main organizer of Cloud Data Driven User Group & Future Data Driven Summit, highly experienced in Traditional Database, and Big Data technologies with a history of successes in designing, implementing complex technical projects for diverse businesses in various stages of their development.<br><br>For more detail about me, click here: https://datadrivencommunity.com/About-Jean-Joseph.html",https://avatars.sched.co/9/0a/14601593/avatar.jpg.320x320px.jpg?d70
Vinay Kamble,Broadcom Software,SaaS Platform Database Architect,,"<em>Vinay works at Broadcom Software as a Database Architect designing and managing various relational Database systems like Oracle, PostgreSQL, MySQL and Big Data systems like MongoDB, Cassandra. Vinay has great expertise on several on-premise to Cloud database migrations with emphasis on PostgreSQL Administration, Migrations. He is actively involved with deploying and managing Kuberenetes database operators.</em>",https://avatars.sched.co/4/19/14663786/avatar.jpg.320x320px.jpg?a1f
Vijay Karumajji,Amazon Web Services inc,Sr. Solutions Architect,,"Vijay Karumajji is a technical expert on Aurora MySQL, RDS MySQL/MariaDB and MS SQL Server. He has been involved in numerous Amazon Aurora early adaptor projects and new technologies. Vijay has broad ranging experience from the relational data modeling phase through the production implementation of database solutions built with MySQL and SQL Server, including data loading, monitoring, and performance tuning. In his role with Amazon Web Services, Vijay is the Americas specialist for MySQL & MariaDB, as well as for Amazon Aurora MySQL.",https://avatars.sched.co/7/65/12988274/avatar.jpg.320x320px.jpg?f21
Krishna Kattumadam,Nutanix,Vice President of Engineering – Solutions,,"Krishna is the head of Solutions Architecture at Nutanix focused on building solutions for business-critical applications, databases.  He is a technical and transformational IT leader with experience working with Mission Critical Databases, Private and Public Cloud IT infrastructure, Applications and Micro Services and managing functions such as Pre and Post-Sales Solution Architecture, IT and Data Center Operations, Software Engineering, Program Management. He has authored technical articles, blogs and a holder of several issued patents.",https://avatars.sched.co/6/28/14835435/avatar.jpg.320x320px.jpg?01c
Jonathan Katz,AWS,Principal Product Manager Technical,,"Jonathan Katz is a Principal Product Manager Technical at AWS on the RDS Open Source Team. Prior to this, he was the VP of Platform Engineering at Crunchy Data, focused on managing PGO, an open source Postgres Operator behind Crunchy Postgres for Kubernetes.<br><br>Jonathan is on the PostgreSQL Core Team and is involved in various governance aspects of the PostgreSQL Global Development Group. He is a Secretary and Director of the PostgreSQL Community Association of Canada NPO and is a Director of the United States PostgreSQL Association NPO. He speaks at conferences around the world on both app developer and operations topics on PostgreSQL and associated technologies like Kubernetes.<br><br>Prior to Crunchy Data, Jonathan was CTO at VenueBook and before that, VP of Technology at Paperless Post. Jonathan graduated from Tufts University with a B.S. in Computer Science and a B.A. in Mathematics.",https://avatars.sched.co/e/f3/14598716/avatar.jpg.320x320px.jpg?41c
Tibor Korocz,Percona,Consultant/Architect,,Consultant/Architect,https://avatars.sched.co/0/e8/14628752/avatar.jpg.320x320px.jpg?e60
Alexander Korotkov,Oriole DB Inc.,Founder,,"Alexander Korotkov is a PostgreSQL Major Contributor & Committer, and Ph.D. in computer science. He contributed many fields of PostgreSQL including indexing, statistics, concurrency, extensibility, and more. In 2015 Alexander co-founded and became the technical chief and development officer at Postgres Professional in Moscow. He is the inventor behind OrioleDB who seeks to deliver the solutions to PostgreSQL wicked problems.",https://avatars.sched.co/d/91/13815282/avatar.jpg.320x320px.jpg?59f
Michal Kuchta,Seznam.cz,SW Architect,,"I work for largest Czech internet company providing news, search, email, advertising and similar services to Czech users. My everyday job consists of designing scalable and fast web-based applications that meets business goals and are always available. For that, we are building large MariaDB + Galera + ProxySQL based database clusters deployed into own cloud infrastructure, similar to AWS.",https://avatars.sched.co/f/2b/14598738/avatar.jpg.320x320px.jpg?792
Oleksandr Kuzminskyi,Pinterest,Staff Database Engineer,,"Aleks works at Pinterest on automating its MySQL fleet operation. Before, he worked for Box, Dropbox, and Percona. He believes in Infrastructure as a Code principle and CI/CD with a goal to exterminate toil.",https://avatars.sched.co/1/9f/14598642/avatar.jpg.320x320px.jpg?238
Dima Lazerka,Victoria Metrics,Co-Founder,,"Dima is a well-known expert in machine learning technologies, having worked in the field for over a decade. Prior to building VictoriaMetrics he held senior engineering roles at Google, and led machine language development for Lyft and AI-based conversation assistant Bellgram. He holds a Master of Science in Mathematics from the Belarusian State University. Dima has a passion for machine learning in the self-driving and space industries, which drives his desire to make monitoring simple and reliable for everyone through VictoriaMetrics.",https://avatars.sched.co/b/7f/14778420/avatar.jpg.320x320px.jpg?784
Herman Lee,Meta,Software Engineer,,"Herman Lee is a software engineer on Meta's database engineering team. Prior to Meta, he worked at Cisco and NetApp.",https://avatars.sched.co/2/fb/14653877/avatar.jpg.320x320px.jpg?d95
Jakob Lorberblatt,"Pythian Services, Inc.",Lead Database Consultant,,"Jakob Lorberblatt is a Lead Database Consultant working with Pythian, a premier MySQL database consulting provider. 20 years of obsession with open source technology has led to pursuit of an ongoing and evolving interest including 10 years of combined database administration and 10+ years of Linux Administration. In his spare time he enjoys North Carolina's outdoors and spending time with his family.",https://avatars.sched.co/2/fa/14629698/avatar.jpg.320x320px.jpg?c74
Matt Lord,Planetscale,Principal Engineer,,Matt Lord has spent the last 20+ years working in the database space both as a producer at MySQL and MongoDB and as a consumer at WeWork and Etsy. Today he leverages these decades of experience to help make Vitess the best Open Source solution for running MySQL at scale and supporting the PlanetScale team as we revolutionize the database developer experience.,https://avatars.sched.co/9/35/14598774/avatar.jpg.320x320px.jpg?002
Junyi Lu,Meta/Facebook,Production Engineer,,"Junyi Lu is currently working at Meta (Facebook) as a production engineer for the MySQL infrastructure team. Responsible for developing automations which manage tons of MySQL instances at Facebook scale. Prior to this, he worked as a MySQL DBA at dianping.com, which is one of the biggest online-to-offline platforms in China.",https://avatars.sched.co/a/66/14598810/avatar.jpg.320x320px.jpg?37b
Denis Magda,Yugabyte,Head of Developer Relations,,"Denis Magda has spent half of his career working on distributed systems, applications, and databases. His experience spans from the development of distributed database engines and high-performance applications to training and education on the topic of distributed and cloud computing.<br>Presently, Denis runs the Developer Relations team at Yugabyte and serves as a PMC Member for Apache Ignite. He started his professional career at Sun Microsystems and Oracle, where he led a Java development group and worked on technology evangelism efforts.",https://avatars.sched.co/5/d9/10489345/avatar.jpg.320x320px.jpg?f0b
Robert Mandeville,Solarwinds,"Manager, Sales Engineering",,"Robert is a technologist with a passion for all things database. He has a deep knowledge with PostgreSQL, Oracle, SQL Server, GIS extensions, performance tuning, and design. Robert has over 20+ years of experience with a variety of companies from government to aerospace to startups in technical operations, support, and technical sales.",https://avatars.sched.co/3/51/1103476/avatar.jpg.320x320px.jpg?c6d
Yoshinori Matsunobu,Meta,Production Engineer,,"Yoshinori Matsunobu is a Production Engineer of Online Datastore technology stacks at Meta (Facebook). Yoshinori is an author of MyRocks (https://vldb.org/pvldb/vol13/p3217-matsunobu.pdf), and has been helping MySQL and RocksDB work well in production for years.",https://avatars.sched.co/2/F6/4050407/avatar.jpg.320x320px.jpg?a3c
Colin McDonnell,EdgeDB,Head of Developer Relations,,"Colin is the Head of Developer Relations at EdgeDB, diehard TypeScripter, and creator of Zod and tRPC. He lives in Seattle and drinks too much Diet Dr. Pepper.",https://avatars.sched.co/7/a7/14778435/avatar.jpg.320x320px.jpg?a88
Puneeth Melavoyraja,Venmo (Pay Pal),Senior Software Engineer,,"Puneeth is a senior software engineer at Venmo (Paypal), focusing on platform infrastructure engineering. He has four years of experience working on the performance and scalability as well as working on developing and managing python-based applications on Kubernetes cloud infrastructure.",https://avatars.sched.co/1/0a/14722764/avatar.jpg.320x320px.jpg?eb2
Jim Mlodgenski,Amazon,Principal Database Engineer,,"Jim has more than 20 years of experience developing data intensive applications and infrastructure. Prior to joining AWS, Jim was CTO at OpenSCG and CEO at StormDB, a Postgres-XC scalable public cloud solution. Prior to StormDB, Jim was chief architect at EnterpriseDB, leading the firm’s technology direction, including its early cloud offerings and other product lines. Jim also very active in the PostgreSQL community, co-founding both the New York and Philadelphia PostgreSQL Meetup groups, and co-organizing the largest PostgreSQL conferences. Jim also speaks regularly at PostgreSQL and other open sources conferences.",https://avatars.sched.co/d/24/14598590/avatar.jpg.320x320px.jpg?bae
Bruce Momjian,EDB,"Vice President, Postgres Evangelist","Newtown Square, PA, USA","Bruce Momjian is co-founder and core team member of the PostgreSQL Global Development Group, and has worked on PostgreSQL since 1996. He has been employed by EDB since 2006. He has spoken at many international open-source conferences and is the author of PostgreSQL: Introduction and Concepts, published by Addison-Wesley. Prior to his involvement with PostgreSQL, Bruce worked as a consultant, developing custom database applications for some of the world's largest law firms. As an academic, Bruce holds a Masters in Education, an honorary doctorate, was a high school computer science teacher, and lectures internationally.",https://avatars.sched.co/8/ff/11750058/avatar.jpg.320x320px.jpg?bb8
